"index","county","report","offense","action","year","value"
"2","Alpine","Actions","Misdemeanor","Revoked",2010,12
"2","Alpine","Actions","Misdemeanor","Other",2010,1
"2","Alpine","Caseload","Total",NA,2011,31
"2","Alpine","Caseload","Felony",NA,2011,14
"2","Alpine","Caseload","Misdemeanor",NA,2011,17
"2","Alpine","Actions","Total","Placed on Probation",2011,18
"2","Alpine","Actions","Total","Removed from Probation",2011,20
"2","Alpine","Actions","Total","Terminated",2011,9
"2","Alpine","Actions","Total","Revoked",2011,10
"2","Alpine","Actions","Total","Other",2011,1
"2","Alpine","Actions","Felony","Placed on Probation",2011,10
"2","Alpine","Actions","Felony","Removed from Probation",2011,12
"2","Alpine","Actions","Felony","Terminated",2011,3
"2","Alpine","Actions","Felony","Revoked",2011,8
"2","Alpine","Actions","Felony","Other",2011,1
"2","Alpine","Actions","Misdemeanor","Placed on Probation",2011,8
"2","Alpine","Actions","Misdemeanor","Removed from Probation",2011,8
"2","Alpine","Actions","Misdemeanor","Terminated",2011,6
"2","Alpine","Actions","Misdemeanor","Revoked",2011,2
"2","Alpine","Actions","Misdemeanor","Other",2011,0
"2","Alpine","Caseload","Total",NA,2012,36
"2","Alpine","Caseload","Felony",NA,2012,24
"2","Alpine","Caseload","Misdemeanor",NA,2012,12
"2","Alpine","Actions","Total","Placed on Probation",2012,39
"2","Alpine","Actions","Total","Removed from Probation",2012,34
"2","Alpine","Actions","Total","Terminated",2012,9
"2","Alpine","Actions","Total","Revoked",2012,19
"2","Alpine","Actions","Total","Other",2012,6
"2","Alpine","Actions","Felony","Placed on Probation",2012,20
"2","Alpine","Actions","Felony","Removed from Probation",2012,10
"2","Alpine","Actions","Felony","Terminated",2012,1
"2","Alpine","Actions","Felony","Revoked",2012,8
"2","Alpine","Actions","Felony","Other",2012,1
"2","Alpine","Actions","Misdemeanor","Placed on Probation",2012,19
"2","Alpine","Actions","Misdemeanor","Removed from Probation",2012,24
"2","Alpine","Actions","Misdemeanor","Terminated",2012,8
"2","Alpine","Actions","Misdemeanor","Revoked",2012,11
"2","Alpine","Actions","Misdemeanor","Other",2012,5
"2","Alpine","Caseload","Total",NA,2013,45
"2","Alpine","Caseload","Felony",NA,2013,24
"2","Alpine","Caseload","Misdemeanor",NA,2013,21
"2","Alpine","Actions","Total","Placed on Probation",2013,35
"2","Alpine","Actions","Total","Removed from Probation",2013,26
"2","Alpine","Actions","Total","Terminated",2013,4
"2","Alpine","Actions","Total","Revoked",2013,16
"2","Alpine","Actions","Total","Other",2013,6
"2","Alpine","Actions","Felony","Placed on Probation",2013,11
"2","Alpine","Actions","Felony","Removed from Probation",2013,11
"2","Alpine","Actions","Felony","Terminated",2013,2
"2","Alpine","Actions","Felony","Revoked",2013,4
"2","Alpine","Actions","Felony","Other",2013,5
"2","Alpine","Actions","Misdemeanor","Placed on Probation",2013,24
"2","Alpine","Actions","Misdemeanor","Removed from Probation",2013,15
"2","Alpine","Actions","Misdemeanor","Terminated",2013,2
"2","Alpine","Actions","Misdemeanor","Revoked",2013,12
"2","Alpine","Actions","Misdemeanor","Other",2013,1
"2","Alpine","Caseload","Total",NA,2014,56
"2","Alpine","Caseload","Felony",NA,2014,22
"2","Alpine","Caseload","Misdemeanor",NA,2014,34
"2","Alpine","Actions","Total","Placed on Probation",2014,42
"2","Alpine","Actions","Total","Removed from Probation",2014,31
"2","Alpine","Actions","Total","Terminated",2014,10
"2","Alpine","Actions","Total","Revoked",2014,19
"2","Alpine","Actions","Total","Other",2014,2
"2","Alpine","Actions","Felony","Placed on Probation",2014,17
"2","Alpine","Actions","Felony","Removed from Probation",2014,19
"2","Alpine","Actions","Felony","Terminated",2014,5
"2","Alpine","Actions","Felony","Revoked",2014,12
"2","Alpine","Actions","Felony","Other",2014,2
"2","Alpine","Actions","Misdemeanor","Placed on Probation",2014,25
"2","Alpine","Actions","Misdemeanor","Removed from Probation",2014,12
"2","Alpine","Actions","Misdemeanor","Terminated",2014,5
"2","Alpine","Actions","Misdemeanor","Revoked",2014,7
"2","Alpine","Actions","Misdemeanor","Other",2014,0
"3","Amador","Caseload","Total",NA,2005,1097
"3","Amador","Caseload","Felony",NA,2005,385
"3","Amador","Caseload","Misdemeanor",NA,2005,712
"3","Amador","Actions","Total","Placed on Probation",2005,674
"3","Amador","Actions","Total","Removed from Probation",2005,736
"3","Amador","Actions","Total","Terminated",2005,372
"3","Amador","Actions","Total","Revoked",2005,364
"3","Amador","Actions","Total","Other",2005,0
"3","Amador","Actions","Felony","Placed on Probation",2005,347
"3","Amador","Actions","Felony","Removed from Probation",2005,356
"3","Amador","Actions","Felony","Terminated",2005,136
"3","Amador","Actions","Felony","Revoked",2005,220
"3","Amador","Actions","Felony","Other",2005,0
"3","Amador","Actions","Misdemeanor","Placed on Probation",2005,327
"3","Amador","Actions","Misdemeanor","Removed from Probation",2005,380
"3","Amador","Actions","Misdemeanor","Terminated",2005,236
"3","Amador","Actions","Misdemeanor","Revoked",2005,144
"3","Amador","Actions","Misdemeanor","Other",2005,0
"3","Amador","Caseload","Total",NA,2006,1144
"3","Amador","Caseload","Felony",NA,2006,372
"3","Amador","Caseload","Misdemeanor",NA,2006,772
"3","Amador","Actions","Total","Placed on Probation",2006,828
"3","Amador","Actions","Total","Removed from Probation",2006,775
"3","Amador","Actions","Total","Terminated",2006,476
"3","Amador","Actions","Total","Revoked",2006,299
"3","Amador","Actions","Total","Other",2006,0
"3","Amador","Actions","Felony","Placed on Probation",2006,358
"3","Amador","Actions","Felony","Removed from Probation",2006,373
"3","Amador","Actions","Felony","Terminated",2006,175
"3","Amador","Actions","Felony","Revoked",2006,198
"3","Amador","Actions","Felony","Other",2006,0
"3","Amador","Actions","Misdemeanor","Placed on Probation",2006,470
"3","Amador","Actions","Misdemeanor","Removed from Probation",2006,402
"3","Amador","Actions","Misdemeanor","Terminated",2006,301
"3","Amador","Actions","Misdemeanor","Revoked",2006,101
"3","Amador","Actions","Misdemeanor","Other",2006,0
"3","Amador","Caseload","Total",NA,2007,1486
"3","Amador","Caseload","Felony",NA,2007,444
"3","Amador","Caseload","Misdemeanor",NA,2007,1042
"3","Amador","Actions","Total","Placed on Probation",2007,749
"3","Amador","Actions","Total","Removed from Probation",2007,838
"3","Amador","Actions","Total","Terminated",2007,521
"3","Amador","Actions","Total","Revoked",2007,317
"3","Amador","Actions","Total","Other",2007,0
"3","Amador","Actions","Felony","Placed on Probation",2007,264
"3","Amador","Actions","Felony","Removed from Probation",2007,316
"3","Amador","Actions","Felony","Terminated",2007,130
"3","Amador","Actions","Felony","Revoked",2007,186
"3","Amador","Actions","Felony","Other",2007,0
"3","Amador","Actions","Misdemeanor","Placed on Probation",2007,485
"3","Amador","Actions","Misdemeanor","Removed from Probation",2007,522
"3","Amador","Actions","Misdemeanor","Terminated",2007,391
"3","Amador","Actions","Misdemeanor","Revoked",2007,131
"3","Amador","Actions","Misdemeanor","Other",2007,0
"3","Amador","Caseload","Total",NA,2008,1344
"3","Amador","Caseload","Felony",NA,2008,411
"3","Amador","Caseload","Misdemeanor",NA,2008,933
"3","Amador","Actions","Total","Placed on Probation",2008,711
"3","Amador","Actions","Total","Removed from Probation",2008,853
"3","Amador","Actions","Total","Terminated",2008,546
"3","Amador","Actions","Total","Revoked",2008,307
"3","Amador","Actions","Total","Other",2008,0
"3","Amador","Actions","Felony","Placed on Probation",2008,294
"3","Amador","Actions","Felony","Removed from Probation",2008,327
"3","Amador","Actions","Felony","Terminated",2008,134
"3","Amador","Actions","Felony","Revoked",2008,193
"3","Amador","Actions","Felony","Other",2008,0
"3","Amador","Actions","Misdemeanor","Placed on Probation",2008,417
"3","Amador","Actions","Misdemeanor","Removed from Probation",2008,526
"3","Amador","Actions","Misdemeanor","Terminated",2008,412
"3","Amador","Actions","Misdemeanor","Revoked",2008,114
"3","Amador","Actions","Misdemeanor","Other",2008,0
"3","Amador","Caseload","Total",NA,2009,919
"3","Amador","Caseload","Felony",NA,2009,301
"3","Amador","Caseload","Misdemeanor",NA,2009,618
"3","Amador","Actions","Total","Placed on Probation",2009,613
"3","Amador","Actions","Total","Removed from Probation",2009,1038
"3","Amador","Actions","Total","Terminated",2009,727
"3","Amador","Actions","Total","Revoked",2009,311
"3","Amador","Actions","Total","Other",2009,0
"3","Amador","Actions","Felony","Placed on Probation",2009,256
